EmployeeId,city,country,state
1,pauri,India,Uttarakhand
2,ooty,India,Tamil Nadu
3,pīpalkoti,India,Uttarakhand
4,kumarakom,India,Kerala
5,kumarakom,India,Kerala
6,ooty,India,Tamil Nadu
7,manāli,India,Himachal Pradesh
8,haridwār,India,Uttarakhand
9,kumarakom,India,Kerala
10,pura raghunāth,India,Uttar Pradesh
11,kalimpong,India,West Bengal
12,tiruvallam,India,Kerala
13,mysore,India,Karnataka
14,haridwār,India,Uttarakhand
15,ooty,India,Tamil Nadu
16,ganpatipule,India,Maharashtra
17,munnar,India,Kerala
18,gurgaon,India,Haryana
19,vandiperiyār,India,Kerala
20,solan,India,Himachal Pradesh
21,new delhi,India,Delhi NCR
22,mātherān,India,Maharashtra
23,ketti,India,Tamil Nadu
24,jaipur,India,Rajasthan
25,ganeshgudi,India,Karnataka
26,tambaram,India,Tamil Nadu
27,phaltan,India,Maharashtra
28,new delhi,India,Delhi NCR
29,tiruvallam,India,Kerala
30,dhanbād,India,Jharkhand
31,dedha,India,Rajasthan
32,chottanikara,India,Kerala
33,new delhi,India,Delhi NCR
34,shirwal,India,Maharashtra
35,solan,India,Himachal Pradesh
36,hanumāngarh,India,Rajasthan
37,mysore,India,Karnataka
38,kolkata,India,West Bengal
39,udaipur,India,Rajasthan
40,coimbatore,India,Tamil Nadu
41,varca,India,Goa
42,jaipur,India,Rajasthan
43,tiruvallam,India,Kerala
44,kāla,India,Maharashtra
45,manāli,India,Himachal Pradesh
46,kalpatta,India,Kerala
47,trichūr,India,Kerala
48,solan,India,Himachal Pradesh
49,gaya,India,Bihar
50,bangalore,India,Karnataka
51,mahabalipuram,India,Tamil Nadu
52,sahāranpur,India,Uttar Pradesh
53,varkala,India,Kerala
54,shillong,India,Meghalaya
55,udaipur,India,Rajasthan
56,pushkar,India,Rajasthan
57,nāthdwāra,India,Rajasthan
58,nāthdwāra,India,Rajasthan
59,solan,India,Himachal Pradesh
60,mahabalipuram,India,Tamil Nadu
61,,India,Kerala
62,munnar,India,Kerala
63,baga,India,Goa
64,ketti,India,Tamil Nadu
65,sangolda,India,Goa
66,bangalore,India,Karnataka
67,udaipur,India,Rajasthan
68,jodhpur,India,Rajasthan
69,gangtok,India,Sikkim
70,mararikulam,India,Kerala
71,rinchingpong,India,Sikkim
72,mahabalipuram,India,Tamil Nadu
73,new delhi,India,Delhi NCR
74,yelahanka,India,Karnataka
75,new delhi,India,Delhi NCR
76,yelahanka,India,Karnataka
77,candolim,India,Goa
78,colva,India,Goa
79,chennai,India,Tamil Nadu
80,jaipur,India,Rajasthan
81,sahāranpur,India,Uttar Pradesh
82,mumbai,India,Maharashtra
83,chikalthān,India,Maharashtra
84,bangalore,India,Karnataka
85,alleppey,India,Kerala
86,shirdi,India,Maharashtra
87,nāthdwāra,India,Rajasthan
88,munroe island,India,Kerala
89,kumarakom,India,Kerala
90,patna,India,Bihar
91,lansdowne,India,Uttarakhand
92,bikaner,India,Rajasthan
93,kumarakom,India,Kerala
94,new delhi,India,Delhi NCR
95,mysore,India,Karnataka
96,vandiperiyār,India,Kerala
97,daman,India,Gujarat
98,hisār,India,Haryana
99,baga,India,Goa
100,new delhi,India,Delhi NCR
101,kodaikānāl,India,Tamil Nadu
102,kodaikānāl,India,Tamil Nadu
103,agra,India,Uttar Pradesh
104,kodaikānāl,India,Tamil Nadu
105,srinagar,India,Jammu & Kashmir
106,mandāwa,India,Rajasthan
107,chandīgarh,India,Chandigarh
108,attigundi,India,Karnataka
109,candolim,India,Goa
110,kolkata,India,West Bengal
111,new delhi,India,Delhi NCR
112,mumbai,India,Maharashtra
113,gwalior,India,Madhya Pradesh
114,gaya,India,Bihar
115,manāli,India,Himachal Pradesh
116,rinchingpong,India,Sikkim
117,candolim,India,Goa
118,canacona,India,Goa
119,meerut,India,Uttar Pradesh
120,srinagar,India,Jammu & Kashmir
121,varanasi,India,Uttar Pradesh
122,ooty,India,Tamil Nadu
123,chennai,India,Tamil Nadu
124,amritsar,India,Punjab
125,calangute,India,Goa
126,bodh gaya,India,Bihar
127,shirdi,India,Maharashtra
128,khammam,India,Telangana
129,pushkar,India,Rajasthan
